name,price,minimum_nights,availability_365
"Large, Sunny Brooklyn Apartment",120,2,0
Private room in Park Slope,40,25,0
"Huge, Arty, Earthy + BEST Location!",345,1,0
Sunnyside Gardens Oasis!,50,1,0
Private room in Brooklyn Loft,45,7,0
"Bright, Huge 1Bdrm in Midtown",250,1,0
"Noho East Vill Lux Bldg w/Gym,Pool ",350,2,0
Nice modern room by Prospect Park!,57,2,265
Sunny top floor apartment in Clinton Hill,120,2,42
Sunny Apartment in West Village,1000,3,0
Charming studio upper east side NYC,125,5,274
South Harlem 1 Bedroom Apartment,145,3,0
Great Location on St. Marks Place,150,1,0
Lovely designer's studio,89,90,101
"Garden Oasis, Williamsburg!        ",164,1,208
"Rancho Deluxe, Williamsburg! ",210,1,224
1 room in HUGE 2Bedroom/1.5 Bath,115,7,0
Junior 1-BR in West Village,110,45,0
Spacious Upper West side 2 bedroom apartment,199,5,9
Spacious 2BR in the heart of Soho,272,5,0
PRIVATE ROOM in Peacuful 2-Bedroom,75,7,328
Great location in the East Village,69,13,84
NoHa Living,179,1,0
Charming Jr. 1 bedroom Midtown,106,7,4
West Village Apt steps to Path,800,1,0
"Room on Upper West Side, Manhattan",100,2,0
"❤️ 2 Beds Option + Private Bath, Sunshine Bushwick",60,2,164
Great NYC Location for beginning of JULY,120,7,0
Large 1 bedroom apartment (shared),80,1,0
Beautiful Penthouse Apartment,75,30,345
Sunny Room,35,7,0
Sunny Place in Cool Hood,88,2,16
"Woodside Queens,  New York",50,1,0
Cozy room in NYC 5,45,4,42
Private Room in Upper East Side,75,3,0
MIDTOWN MANHATTAN-WALKING DISTANCE TO EMPIRE STATE,79,2,0
One  Room in Lovely Zen House,55,15,255
Your private space in Brooklyn,45,1,354
Cozy 2BR Brooklyn retreat w/Bckyard,85,10,0
New 1BR + 1BA with Private Entrance,80,3,220
LARGE 2 BEDROOM FOR SUPER BOWL ,599,1,0
GET COSY IN WILLIAMSBURG...,110,3,0
Classic Chelsea Brownstone 1 Bedroom,199,2,112
Inspiring spacious loft space,94,2,188
Brooklyn garden 2 bedroom,400,5,333
Room in a lovely 2br apartment - East Williamsburg,60,7,3
Cozy Studio in Murray Hill,175,2,33
Huge Sunny Family Friendly Loft in Greenpoint,200,5,0
Cozy East Village Bedroom,100,5,0
Summer catsit in Brooklyn!,50,3,0
Studio Apartment centrally located!,175,3,0
Sunny & Bright Bohemian 2BR XL Loft,199,30,308
Big room in Greenpoint.,54,4,0
1 BR Apt in Park Slope Brooklyn,130,4,0
Delicious & Airy Apt in Landmark Brownstone,151,2,220
Cozy 1BR in Morningside Heights,80,1,0
Lower East Side Haven on Ludlow St,110,8,333
Sunny apt with Backyard,60,3,0
"Charming, sunny oasis",110,10,282
Awesome Bedroom close to Manhattan!,73,2,0
Spacious 3BD/2BA - Parking Included,177,3,237
Lovely Studio in New York City,90,14,0
Apartment-NYC-LES-Lower East Side,190,1,0
Cozy Sun Drenched Crown Heights Apt,105,5,0
"Huge, gorgeous apt in Harlem, NYC",150,14,35
Comfy & Spacious Room next to the Subway/Metro,65,4,7
East Williamsburg Room near L train,35,1,0
Brand New 3BR Apartment,700,3,0
3 Bed/ 2 Bath Full Apt. BK Heights,185,2,0
STYLISH NYC OASIS NEAR CENTRAL PARK,150,90,153
Live like a native,100,1,220
Luxurious & Spacious 1 Bedroom Apt,575,1,0
Huge Bedroom at Downtown Manhattan,128,1,0
Private Deck 2 Bedroom+2 Bath East Village,299,28,14
LES Sun Drenched w/ Balcony,169,3,0
Penthouse With Private Roof Deck,109,7,78
Private Parlour Floor,99,4,261
"Chic, neat & cozy small 1 BR Apt",130,5,0
West Village Wonder -spacious 1 bed,239,4,84
Entire Sun Drenched Apartment in Clinton Hill,100,30,0
Beautiful renovated 1 bedroom Apt.,124,4,147
"SALE- 2 BEDS, IN PRIVATE BEDROOM NEAR MANHATTAN!",69,1,362
Williamsburg Luxury 1 Bedroom,180,2,0
Sunny 1 Bedroom Apt in Williamsburg,225,2,0
Spacious 1-BR Midtown West,119,2,0
GREAT in CHELSEA:  JUST SEE REVIEWS,220,7,13
Spacious and bright Bedroom,150,4,0
Large BR in a 3BR apartment,75,1,188
Staying in Greenpoint/Williamsburg!,51,3,0
"Bright & cozy, private UES studio",150,9,0
"Modern & Artsy, Awesome Location",91,1,0
"Sunny Chelsea 1 B.R. Hi Line, Washer/Dryer, 3 Beds",139,90,219
Hidden gem in Fort Greene,100,4,190
Nice bedroom,60,1,329
Large Stylish 1.5 BR Noho/Nolita,255,2,0
Big Sunlit Studio - Nice Bed - 18 min to Manhattan,94,7,0
SUNNY APARTMENT DOWNTOWN!,179,2,0
*Upper East Side Cozy 1 Bedroom*,135,4,267
Big Room near Prospect Park.,50,5,33
Historic Townhouse 3bed 2bath * 1 block to subway,350,2,99
Private Furnished Studio Apartment,150,30,269
1200sqft artsy loft SOHO/NOLITA gem,375,3,0
Stunning UWS studio private room;,150,3,42
In the heart of Hell's Kitchen,175,1,0
Sunny & Spacious in Park Slope,170,2,0
Spacious Modern Williamsburg Loft!,275,3,0
Cozy Private Room in Artsy Bushwick,30,3,0
Cozy 1BD-15min to NYC $150,150,1,0
Studio Midtown East,140,3,0
Central Park West Studio Value,200,30,365
Thanksgiving in Manhattan!,560,1,0
Time Square doorman building 1 bdrm,240,4,0
SPACIOUS APT BK/QUEENS w/BACKYARD!,99,2,42
Gramercy Park Studio Apartment,195,3,0
COZY CLEAN BDR 3 MINUTE WALK FROM GRAND CENTRAL,89,2,0
Private Room with Plush Queen Bed,65,3,305
Large one bedroom apartment,156,1,0
"Large Bright Room, East Village Apt",120,1,0
Best NYC Deal on upper west!,400,1,0
Entire 2 BED APARTMENT - WILLIAMSBURG- Best Price,210,3,343
Industrial Modernism Flex 2br Loft!,159,30,338
Private Single Room Steps to Subway,55,3,285
Fabulous City View Studio Loft,129,30,322
Large 2BR/2B next to Lincoln Center,300,3,0
Sunny Private room in Brooklyn,79,1,285
One room/full floor in a Duplex,100,4,0
UWS 1BR w/backyard + block from CP,6000,14,359
PRIVATE studio/not shared/ SAFE/ CLEAN/Affordable,64,3,333
Williamsburg. By Bedford L train,110,10,42
Nice Modern Mirrored Room in NYC,55,14,17
"No security req,great price,new queen bed!",55,5,270
Private Bushwick Loved Room with a Sacred Garden,75,5,0
Amazing room in Greenpoint,70,1,0
Futon on the Upper East Side!,85,2,0
Large 1 bedroom apartment next to Prospect Park,130,29,217
Spacious 1BR Haven in Duplex w/Deck,120,7,0
Beautiful Prewar 1BD Apartment,50,10,0
Renting apt for a weekend getaway,100,1,1
"Sunny, Modern Open 1BR ",145,2,0
Refreshingly Peaceful Room in Prime Williamsburg,100,5,41
Charming West Village One Bedroom,200,1,0
"Affordable, Private, Simple & Clean NYC Flat!",80,1,258
Beautiful Central Park Apartment,200,6,364
SuperBowl West Village Apartment,325,1,0
Artist Loft Studio close to all,120,3,69
Spacious Suite in Midtown West/Times sq.,180,3,161
Downtown Filmmaker's Loft by WTC,379,2,0
Private Room E,33,1,0
Spacious Bedroom in Williamsburg Loft.,60,4,0
2BR XL Industrial Factory Loft,199,30,365
Charming 1br loft in Brooklyn,149,30,343
Upper East Side apt for Super Bowl,150,1,0
GREAT COZY APT,98,8,170
Sun-drenched 2 Bedroom Penthouse,250,4,239
Warm & Spacious (not available),60,1,0
"Studio 1 block from subway, 10min to Manhattan!",149,2,171
Huge Master Bedroom w/ Private Bath,95,5,0
Artistic Studio Apartment,85,3,41
Large artsy studio with 90s style,90,3,0
"Nice room in Astoria, Queens, NYC",47,5,162
Gorgeous New 1BR_Heart of Midtown,180,30,337
"Downtown, close to every subway!",110,3,0
Charming Studio in Brooklyn,170,2,26
CONVENIENT Greenwich Village 2 BED!,210,5,0
"Super Bowl, 2 bdrm, UWS apartment ",900,1,0
Studio Apartment Near Express Subway to Manhattan,65,2,302
Private room with bathroom and balcony.,60,7,365
"Upper West Side 1 BR APT, ~675sg ft",225,2,0
Casa de La Musica,200,7,0
A Beautiful Brownstone,170,3,314
"HARLEM, NEW YORK WELCOMES YOU!!",62,2,336
Centrally located Midtown East 1 BR,125,2,0
"Room in Soho, Manhattan",106,1,0
Riverview at Lovely Harlem/UWS Home,93,2,7
Charming and Large UES ROOM for travellers,85,5,299
"Furnished room - W. 181 St. by A, 1",300,2,365
Fully renovated 1br apt in LES,224,2,0
Williamsburg - country house in NYC,145,1,291
"Cheap, furnished private room",40,1,0
Large Private BR in Hell's Kitchen,135,2,98
"Bright, Lovely, Private Room in Midtown Manhattan",97,3,58
Cozy Room in Upper East Side,69,60,90
Bed & Bagel~a charming 3 bedroom loft,225,4,89
Super Bowl Rental 2BR in Soho,900,1,0
Amazing NYC 1BR Apartment,215,3,0
Hip Bushwick Apartment,99,2,88
"SUPERBOWL!! 2 Bd, 2 Ba w Roof Deck!",850,1,0
1500 sq ft apt sleeps 8 - SuperBowl,2000,1,0
"Private Bedroom in Sunnyside, NYC ",60,1,184
2br. Luxury Building in Upper East,303,7,3
Superbowl Studio Upper West Side,750,3,0
Newly renovated house,111,3,261
COZY ROOM WITH STUNNING VIEW IN AN AUTHENTIC FLAT,60,30,92
The best Williamsburg has to offer!,320,2,330
"Brooklyn Charm, Close to Manhattan (30+ Days Only)",112,200,42
Cozy Brownstone Suite,185,2,348
Private Bedroom in LIC/ Astoria,100,29,305
Bushwick Bungalow,150,1,0
Lg Private Rm wTerrace Midtown West,130,5,48
"2BD True Loft, Hip & Artsy Location",130,5,0
Luxury NYC Studio for Super Bowl 48,575,1,0
The Perfect 1-bedroom in Cobble Hill,125,5,196
East Village Studio,190,4,55
"Brooklyn NY, Comfy,Spacious Repose!",70,3,365
Upper West Side elegance. Riverside,599,1,0
"BIG, BRIGHT, STYLISH + CONVENIENT",80,3,199
Exclusive Upper East Side Studio,99,1,0
Cozy Manhattan 1 BR,100,6,128
Furnished one bedroom in Midtown West.,200,30,339
Home Sweet Home in Historic Harlem-Riverside Drive,60,2,33
Huge Sunny Room In Awesome Apt/Neighborhood,100,2,365
Lower Park Avenue Pre War,2000,1,0
Historical Harlem @ express train!,90,3,0
Brooklyn Artist Bdrm center of everything,61,4,0
Room w/ Private Bathroom,99,1,0
Cool New 1br Apt - 1block from L&M,100,7,365
Modern Apt Steps from Central Park,340,6,365
Room Bedford Heart of Williamsburg,75,2,154
Sunny Loft in heart of williamsburg - entire loft!,130,30,39
Garden apt in Wlmsbrg - Lorimer L,140,2,0
Beautiful Apartment On Stivers Row,112,3,313
Sunny & spacious NYC Apartment,160,3,0
2 Convertible Bdrms Great for 1-6,165,3,301
Clean Private Room in Chelsea apt,80,30,301
1BR Superbowl rental Hells Kitchen,850,1,0
Superbowl - NYC Apartment,950,1,0
Tribeca Loft for Superbowl Wknd,1500,1,0
Modern Alcove Studio in Chelsea NYC,160,4,0
Beautiful 1-Bedroom in West Village,300,2,0
Herkimer House,150,2,144
10-Room Apt w/ 3BR & Park Views,250,1,0
East Village 2BR with view!,100,10,0
*Queen-sized comfort in cozy Historic Sugar Hill*,49,2,52
3 story Home in NYC-upper east side,675,5,0
Full apartment - perfect location,150,5,6
A charming UES apartment,300,1,0
CLEAN ROOM on Lower East Side,79,1,2
East Village~Organic Living,225,2,320
BEDROOM WITH PRIVATE BATHROOM,90,2,250
Two Bedroom Flat,285,8,364
"Spacious 2BR/2BA Classic UWS Apt, Great for Family",300,2,0
Bright Dble Bedroom. Private Bath. Close to Subway,55,2,157
Charming Cozy Studio Apt. in NYC,80,5,315
Bedroom with Private Bathroom,90,1,281
Luxury 1BD 1.5 Bath In UES in NYC,325,2,0
BEAUTIFUL 1 BEDROOM,55,7,0
Prime E. Village at St. Marks Place,208,2,313
BEST LOCATION! On the border of Chelsea/W Village,156,1,300
Sunny Brooklyn Home,85,4,1
Gorgeous Ft. Greene apt amazing vu,200,2,0
Prime East Village 1 bedroom,180,2,0
Perfect Location - 2 bdrm/2 bth ,250,10,0
"Bright, Modern Two Bedroom With Stunning Rooftop",325,3,277
Modern Studio in Midtown East,140,3,0
Spacious 1 Bedroom in Lower East Side/Chinatown,160,6,7
Spacious Room in the Heart of NYC,130,1,0
Room in perfect Manhattan location,110,1,63
LARGE 1 BEDROOM APT. IN MIDTOWN NEAR SUBWAY/BUS,150,2,29
"CENTRAL PARK, NYC APT",149,2,270
SUPER BOWL 2014 in TRENDY CHELSEA!,900,1,0
Chelsea HUGE apartment w/ King bed + office,215,3,0
"Luxury Modern Spacious 1BR,1 block to subway",155,1,0
Sunny room with private ensuite!,50,3,0
Vibrant Brooklyn location!,225,5,0
A Room WIth A View,65,2,114
Artist owned brownstone apartment,112,4,248
Heart of downtown Manhattan,250,3,273
Large Wiliamsburg Private Bedroom,65,4,19
Beautiful 2BR Flex Factory Loft,159,30,349
LAVISH 2 BR APT by Central Park!!!,99,1,327
Beautiful City Oasis 2BR/1.5 BATH ,395,3,340
Comfortable Room ,145,1,0
1BR West Village! Landmark Building,185,7,0
"226 E 29th St, NY - Super Bowl",1500,1,0
(Williamsburg) - Large Bedroom w/ Private Bathroom,45,2,241
Great Studio!,60,1,0
XTRA LARGE 1 Bedroom Gramercy Apt,749,1,0
Sunny Room in Beautiful Artist's Home,55,2,34
Large 1-BR Apt w/Fireplace & Patio,1000,3,0
Charming West Village 1 Bed - Ideal Location,165,7,8
Beautiful 1 BR with Private Garden,285,2,194
Lovely Duplex (2-story) flat on the UES,220,3,31
Haus of Taylor (Bronx Prohibition),75,2,365
"Spacious, bright, heart of Bushwick",120,5,2
NYC SuperBowl Wk 5 Bdrs River View ,4000,1,0
Downtown NY Apt - SuperBowl Weekend,650,1,0
Super Bowl 2014,750,4,0
Cozy and homey railroad in bushwick,100,3,10
"Harlem/Morningside, charm and quiet",95,1,270
An Accomodating Apartment on Wall,1000,1,0
Great Location in the heart of NYC!,119,2,265
Modern Luxury Meets Old Money Charm,1200,1,0
,200,1,341
Kate's Place,48,1,0
"Coffee,Tea&Milk Astor Place Lodging",30,30,304
Cozy 1 Bdrm n the Heart of Astoria!,65,4,0
"Cozy Room in LIC, 7 min to Times Sq",79,15,238
"Modern Large Studio, Great Location",105,7,121
2BD in Midtown East,420,2,0
Cool UES 1 Bed Sleeps upto 4,250,1,0
"Peaceful home, friendly area!",95,5,0
Huge Duplex in South Slope,290,2,195
Central  Harlem Hideaway,100,1,0
Chelsea Studio for Super Bowl!,395,3,0
Large 1BR Upper East Side Apartment,180,2,0
Sun-bathed spacious Luxury 2 BR near CENTRALPARK!,380,3,43
Top floor!,40,2,0
A cozy apartment,45,2,0
Lux 1600sf 1BR w. Private Terrace,300,1,0
"SuperBowl Penthouse Loft 3,000 sqft",5250,1,0
Super Bowl New York City Apartment,1500,1,0
Spacious & Convenient UWS Apt,125,2,0
Superbowl in the West Village,1500,1,0
"Upper E. side, one month minimum",110,1,0
"Landmark Brownstone, Crown Heights",105,2,248
Private Room in Central Park Slope,45,5,221
Luxury 1 Bedroom Condo,1000,1,0
Full of Light Studio Apartment close to Subway,80,13,15
Great UWS Apt./Central Park ,375,1,0
Super Bowl Wknd! 3-Bedroom Apt UWS,1000,1,0
Spacious/New 3 Bedroom East Village,1500,1,0
"Huge 3BR Penthouse, Private Roof!",1550,2,0
Private room on the UWS,89,3,10
Bedroom in Huge Apt on St. Marks,129,5,0
Great place to crash for Super Bowl,500,1,0
For Super Bowl- cool 1BDRM on UES!,500,3,0
Fantastic Soho/Tribeca Loft,250,30,310
Large 1 + Den in the West Village,250,1,0
"Spacious apt, 5 min to Central Park",175,2,0
Spacious Duplex Apt in Brooklyn,40,3,0
"Private Studio Apt, Luxury Building",400,2,0
Private Bedroom in Williamsburg!,85,14,0
Delightful 2BR Historic Brownstone Duplex,219,4,31
Elegant private studio in Manhattan 73 St. & 3 Ave,130,30,156
Sunny and Bright 1BR Factory Loft,149,30,330
Quiet Gramercy Apartment,100,1,0
2 Bedroom Greenwich/Soho Apartment,289,3,247
Cozy Room in the heart of UWS,67,1,331
New Studio in Heart of Chelsea,221,2,256
Spacious 1BR Chelsea Apt. for SB 48,750,2,0
Sunny Room in Heart of Williamsburg,75,4,0
SUPERBOWLSUNDAY! 3BLOCK FROM TIMESQ,350,1,0
Luxury Building Huge Studio,425,2,0
Apartment in Soho,200,1,0
Spacious 2 BR in North Chelsea,1000,3,0
Williamsburg Loft,100,7,0
Clean and pleasant Room in NYC,65,1,0
SUPER LOCATION 4 SUPER BOWL WKEND!!,1250,1,0
4RW - CARRIAGE HOUSE STUDIO OFF CTYD,112,30,244
Studio Apartment on 35th and 3rd ,175,1,0
brooklyn 14 bedroom gated community,1485,2,260
spacious homey one bdrm apt.,120,2,81
Consider it home,150,26,0
Large 1 bedroom,369,2,0
Paddy Pad,81,1,13
Williamsburg Lodge (the best home in Brooklyn),89,3,147
Amazing 2BR/2Bath Loft in Brooklyn,199,30,127
Stunning 1BR Brooklyn Loft,149,30,330
Large Bedroom 15 Min From Manhattan,45,2,270
Newly Converted Factory 1BR Loft,149,30,337
Big Queens NY Apt. Clean & safe.,600,4,0
Super Apt for Superbowl,400,1,0
Modern Style private room in queens,65,2,362
SUPER BOWL Brooklyn Duplex Apt!!,6500,1,0
Little Heaven — Upper West Side,150,2,0
equipped and modern 2-bd apt,265,3,0
Sunny Spacious West Village 1BR,199,3,0
Great location Cntl Park Times Sq,395,5,0
Super Bowl Weekend,150,1,0
Bondtastic: Fabulous in Brooklyn.,130,30,297
Heart of the West Village!,175,3,0
3 Bedroom Apartment,2750,1,0
Private Rm - Times Sq/Hell'sKitchen,90,1,255
PERFECT SUPERBOWL STAY,1500,1,0
Penthouse with Private Rooftop for Events/Shoots,2500,1,0
Great UWS Apt Along Central Park,350,1,365
Gorgeous 1 BR in N Williamsburg,250,2,0
Prime NYC Location for Super Bowl ,3750,1,0
Midtown Gem/ Carnegie Hall/theaters/ Central Park,250,3,170
Duplex PH 2 bedLoft Williamsburg,500,1,0
Gorgeous 1 bdrm in Carroll Gardens,180,2,24
The Best of Both Worlds-Manhattan Country Living!,800,7,0
MANHATTAN SUPERBOWL ACCOMODATION,1600,1,0
Sunny & Spacious Upper West Side One Bedroom Apt,85,5,0
"Great 1 bedroom, close to subway!",49,4,0
SUPER BOWL RENTAL NYC LOW PRICE,750,1,0
Large Rooms with Bar and PullOut Prime Greenpoint,91,4,113
"Cozy, Quiet Bedroom in Historic West Village",100,5,0
Large sun-filled Studio: Murray Hill,152,1,0
2 bdrm in center of Williamsburg,250,1,0
Private Room in Best Location!!,110,1,239
"Large, Sunny Room—in Fun, Trendy Area",73,14,0
Super Bowl Space Available! ,300,1,0
SuperBowl Weekend Rental! 3 BR/1ba,1000,1,0
Instant NYC,135,2,0
cozy upper east side 1 br abode,75,2,0
Hilton timeshare west 57st  ,600,1,0
Mid Town East Side Apartment ,800,1,0
Three bedroom upscale condo,250,7,338
large 2bdrm apt - midtown manhattan,200,1,0
Gorgeous 1400 Sq Ft Artist's Loft,75,3,334
2BD/2BA Manhattan Apt,1000,1,0
SUPER SUPER BOWL PAD,900,1,365
Working Fireplace in TriBeCa loft,70,14,0
Luxury private apartment/Suite/with balcony,88,3,262
Luxury Studio -Midtown/Times Square,425,1,0
Ritz-Plaza - 2 bedroom / 2 fullbath,975,2,0
Entire Park Slope Brownstone,305,10,30
SOHO - Large Studio Apt,220,2,112
Awesome Hells Kitchen Apt!,150,1,0
"Big, Sunny Bedroom, right by subway!",49,4,8
Eclectic Studio in Cozy Bay Ridge,86,2,0
Midwood Aerie - Bright  & Private!,140,1,307
Big 2 bds House w/ Parking and Yard,86,1,53
Huge Loft heart of Upper West Side,650,2,0
Luxury New York,350,1,0
Amazing Location-Private Studio near Central Park!,225,2,88
CLEAN LES HOME,75,1,0
Super Cute Chelsea One Bedroom,150,1,0
Hamilton Heights/Harlem Private Bedroom with Roof,199,3,0
Studio Apt. in East Williamsburg,95,4,22
Old Brooklyn Charm,200,2,51
Spacious Studio on West 72nd,200,3,346
Duplex Brownstone sleeps 4-6,175,7,24
Spectacular Studio Loft w/City View,129,30,365
"Large, 2fl/2bdrm Williamsburg Apt",200,3,0
Private Rm for 1 in Prime Harlem,60,3,365
Luxury Apartment in Manhattan's Financial District,130,7,157
SPACIOUS BEDROOM AND PRIVATE BATH!!!,115,3,55
Your own room in NY's best area,135,2,296
1 room available,300,1,0
Cute & cozy room in Ridgewood,59,3,87
Peaceful Parlor Floor Apartment,196,2,261
Cozy Nook in a Unique Loft,128,3,219
Large 2 Bedroom available,400,1,0
BEAUTIFUL CONDO IN TIMES SQUARE ,200,30,363
Charming Sunny 1 Bedroom LES Apt!,180,5,0
Spacious Private Room in East Williamsburg,60,30,190
"Stylish apartment/ Serene Room in Williamsburg, BK",70,90,264
La ponderosa,40,2,291
Huge 2 bed 2 bath Apartment!,250,5,195
Bohemian Brooklyn Bungalow,80,2,0
Amazing New York apt  in Harlem with Backyard!!!,85,3,35
Cozy bedroom in Lower East Side,70,1,0
"Bright room, close to everything.",55,5,0
"Stylish, Affordable & Private Room",60,2,0
Amazing Greenpoint Loft-Best Deal!,100,2,0
Private Room in Williamsburg Loft,73,10,13
Spacious and bright 2 or 3 bedroom,145,2,0
Lovely private room close to Manhattan,65,2,146
Cozy 2-BD w/ Lots of Light,162,1,103
NYC Apt - Close to Metro & Mnhtn,275,30,342
Large 1BR - PRIME Williamsburg,56,12,0
"Modern, Clean, West Village Apt!",200,2,0
ART COLLECTORS APARTMENT - TIMES SQUARE-10TH AV.,250,5,0
URBAN CHIC VIDEO/PHOTO SHOOTS ONLY,500,1,365
Safe Sunny 1brm near subway,120,30,108
Peaceful Artsy Huge Sunny Bedroom!,55,3,0
Cozy Room in Park Slope,59,1,22
"Quiet Apartment in Williamsburg, Bk",99,1,0
Full Apt w/ large kitchen in UES,155,1,0
Spacious and Amazing Location!,200,3,0
Private bedroom in historic Chinatown apartment,60,4,0
"Great 1 Br Apt, Ozone Park, NYC",85,3,238
Master bedroom in historic house,150,3,4
Chez Jazz BnB--Cozy BK/Queens room,45,2,190
Times Square Area Quiet + Private Guest Studio,200,2,223
Amazing Two Bedroom Apartment,120,2,292
Hell's Kitchen- Times Square,100,1,4
Sophisticated Harlem True 2BR NYC,195,4,233
Cozy private room available in a great location,38,3,0
"Artsy and Comfy Bedroom, Living Room, Terrace",75,2,0
"New 1-Bdrm, 3-beds in Bensonhurst, Brooklyn, NY",76,30,282
Entire 1400 sq ft Artist Loft - FOUR Private Rooms,175,27,148
The Rose House,500,3,364
"The center of NYC, Brooklyn!",179,3,242
"SALE 2 BEDROOMS, LARGE MASTER & GUEST BEDROOM",200,1,362
Spacious apt in the Lower East Side,400,7,365
"A Simple, Calm Space",32,2,83
Charming Bedroom in Artists Colony,50,3,0
Room in Huge 3 Bedroom  L.E.S,75,1,0
Near Columbia Universit/Female only,40,1,0
"House of Music and Art, Large Happy Room, full bed",62,21,110
The Notorious B.N.B. { The Pfizer },239,1,363
Your Very Own Williamsburg Apt!,179,5,336
Williamsburg 1 bedroom appartement,250,5,284
Luxury West Village apt with views!,400,5,35
"Harlem 1 BR, Private Master Bath",98,2,312
"Heart of Williamsburg, Brooklyn!",89,1,0
Cozy apt in the Upper East Side,185,2,0
In the heart of the East Village,125,3,0
"Elegant Brooklyn Comfort, One Bedroom",180,2,0
Relaxed Comfortable Beds in A Cozy Apartment.,30,5,288
The Big Brooklyn,60,1,333
Modern Lower East Side Apartment,115,2,276
"Private home, quiet Brooklyn street",200,2,0
Cute Apartment in Williamsburg,70,1,0
Sunny Studios in Historic Browstone,179,30,365
1 Bedroom Bushwick apartment,109,1,0
Private Room HK/Theatre District!,124,5,236
Trendy Apt by Chelsea Market with High Line Views,159,2,25
"Bright, Eclectic, Happy Brooklyn Apartment",85,10,12
Amazing Room—Private Bath (100% LEGAL!),109,2,269
Luxury Alcove Studio Apt in TriBeCa,110,10,0
Newly Built Full Bedroom In TriBeCa,500,1,0
"Cozy BR in Hamilton Heights, Harlem",65,2,0
Private Room Available in nice apartment!,112,2,179
"Bright, Airy Room Share for 2",25,5,258
Newly renovated 1BD on UWS,220,5,0
Your own apartment in Bushwick,79,3,0
Great 2 bdr apt in WB/Greenpoint,200,3,205
Private Room Brooklyn NY,55,4,129
"Lovely Private Bedroom in Vibrant Bronx, NY",50,2,156
Modern Duplex Studio Factory Loft,129,30,325
Stunning 1br in Historic Brownstone,195,30,327
Charming Mid-Century Studio,79,2,6
Bedroom in sunny downtown apartment,65,3,123
Theater District Studio (Sleeps 4),123,2,0
Loft in Williamsburg! ,70,5,0
"Guest rm, 2 stops from GrandCentral",100,2,97
Comfy Room in Park Slope,69,1,22
HUGE LUX 2FLOOR 2 BDRMSOHO LOFTw/HOME CINEMA,450,1,0
Soho loft with everything,650,5,83
Cozy Entire Apt1Bd APT inGREAT Loc,125,3,249
Charming Spacious Master Bedroom,75,1,306
Charming 2BR in Greenpoint,154,1,213
Charming Upper West Side Studio,60,14,0
2019 Special! LARGE West Village 1 BED!,279,1,363
Quiet & private room in luxury doorman bldg,80,3,178
"Bright, Modern Room in East Village!",84,1,59
"Sunny, charming duplex in best Brooklyn 'hood",180,6,26
Awesome Child Friendly Apartment!,100,5,0
Private room in Clinton Hill,86,2,35
Center Park Slope 2 Bedroom Townhouse Apartment,189,7,33
Close to everything - Jr 1 bedroom,130,365,262
Ultimate Luxury Manhattan Apartment,150,1,215
Beautiful 1br loft in Brooklyn,149,30,0
Gorgeous Private 1BR. 10m to MHTN.,83,14,0
Upper East Side Large 2 Bedroom,180,1,0
"$455 Cozy 1bd, BKLYN Sublet March",18,1,0
Charming Brooklyn Brownstone,100,2,0
1890s North Williamsburg Townhouse,145,2,64
Pristine Lower East Side Sanctuary,133,14,221
Big BR 15 min away from Manhattan,75,7,193
Beautiful Bright & Airy Guest Room ,100,2,341
East Village,99,1,0
Spacious one bedroom in prime Fort Greene,132,3,0
Beautiful Central Park Apartment!,72,2,183
1 BEDROOM ENTIRE HOME/APT❤ ASTORIA,125,1,0
"New, spacious 1BD in Williamsburg",102,7,2
New Factory Converted Studio Loft,129,30,303
"2 Bedroom in Carroll Gardens West, minimum 1 month",107,30,18
BEAUTIFUL ARTIST APT IN NOLITA w/ Private Backyard,250,1,0
Centrally located in Bayside / Nice,90,3,324
Upper West Side Lux Apt. Available 8/5-8/14/2017,200,4,0
"Great, cozy room in Williamsburg!",90,1,0
Luxury Living Near Central Park,200,5,0
Prime Brooklyn 1BR-10min to City!,160,7,0
Awesome Spot near HK/Theatre Distri,124,5,149
"Sunny Master Suite: large bdrm, priv bth, priv liv",95,4,137
Studio Loft with 2 queen beds and large kitchen,129,30,341
Full Floor Apt with NY Skyline views,110,4,323
Overlooking Harlem,92,2,276
Royal Harlem TRIPLEX Home 5 Beds,175,3,38
Private Room: The cheapest deal!!,30,7,0
Red Hook Classic Townhouse w Garden and Treehouse,134,2,264
2 BR Designer's Apt in Heart of NYC,400,1,30
Chic New York city apartment,152,270,0
Boutique Apt. NYC  by  24 HR Metro,75,2,0
18th Floor Bright Bedroom with Private Bathroom,169,8,60
Quintessential W'burg Apartment,95,2,274
Quintessential W'burg Private Room,90,2,306
Sunny Quiet Room In Harlem,60,1,356
COZY 1 BR IN COOL LOWER EAST SIDE,180,6,97
Peaceful Bed w Breakfast - Manhattan,84,3,294
Big Sunny Bushwick Apartment,98,4,8
Charming Studio!--Brooklyn College ,90,7,0
Charming Apartment in Greenpoint,134,6,0
Private Room in Large Two-floor Apt w/ Backyard,119,2,0
Cozy spacious UES studio,141,1,0
Charming 1 Bedroom in West Village,199,4,0
"Comfy, Roomy Bushwick 1-BR ~ Steps from L/M Train",108,3,89
NYC Steps from Central Park!,150,5,0
"Ingefära Hus! One bedroom Williamsburg, Brooklyn",175,2,14
