name_y;neighbourhood_ID;room_type_ID;price;minimum_nights;availability_365
Chelsea Apt w Private Rooftop Deck;97;2;125;3;0
Lux 2Bedroom NYC Apt near Times Square;121;2;369;30;148
Cozy Europa;106;1;60;1;83
Very Large room at BrooklynBreakfast;86;1;65;1;339
Private Spacious Room  Near Trains;129;1;70;3;89
Sweet  Bright Two Bedroom Artist Flat Brooklyn;64;2;162;3;22
Modern fun and sophisticated 1BR;109;2;250;28;0
Big private room  1 bed1 person;66;1;75;2;354
Luxurious  one bedroom apartment in a quiet area;2;2;95;3;144
Sage  Charming 2 Room Studio 7;51;1;75;2;227
SunnyHome;146;1;60;1;67
Amazing 1BR Heart of East Village;101;2;189;2;23
Private Room in Bedstuy Brownstone;51;1;66;1;0
Beautiful bedroom in Williamsburg;94;1;100;2;0
Glorious brownstone apt w outdoor Clinton Hill;62;2;190;7;0
Spacious Bedroom near Prospect Park;92;1;50;1;0
West Village 2 Bed  Private Roof;127;2;814;3;353
Cozy Bedroom in the Lower East Side;111;1;100;2;0
Fully Private Suite in Home;87;2;125;1;37
BR in amazing Apt  10min Manhattan;94;1;90;1;0
Sunny in heart of Williamsburg;94;2;250;1;0
Bright Open Family Friendly;175;2;115;1;0
Huge 3 bedroom apt in West Harlem;106;2;300;2;176
Lovely 15BR Near Park and Subway;91;2;145;3;235
Charming Bedroom with Private Bath;100;1;65;7;0
Sunny LES Pied a Terre;111;2;150;1;0
Private room in two fl apartment;59;1;50;2;0
HUGE 1 BEDTIME SQMODERN;107;2;80;30;356
Typical NY duplex ap with a garden;124;2;200;5;67
Convent Ave  127st Col Univ  RM 2;106;1;69;2;365
Centrally located Midtown 1BR;107;2;150;1;7
MANHATTAN Studio 10 SECONDS Walk to Subway;100;2;79;1;290
Huge 3 bdrm in Ditmas ParkFlatbush;73;2;219;2;275
Sunny East Village 1 Bedroom;101;2;199;2;39
Penthouz 1200SQF WD 2bd 25ba 350SQF Terrace 5197;127;2;450;30;327
Clean and warm room in Flushing;146;1;27;1;0
5BED OASIS IN 3BEDROOM3BATH DUPLEX WBACKYARD;113;2;550;1;267
Spacious 1 BD in Hells Kitchen;107;2;120;1;0
Private and super quiet Step to Subway;124;2;90;4;0
room with awesome view;113;1;70;1;0
Spacious room in mid manhattan;113;1;70;1;0
Greenpoint Apartment;79;2;110;2;0
Charming Brooklyn Heights Studio;57;2;100;1;0
Luxury Doorman BuildingMurray Hill;104;1;150;1;0
Clean well located Chinatown apt;99;2;200;1;0
An Architects Inviting Studio;125;2;145;3;0
Cityview in E WilliamsburgBushwick Great Place;94;1;79;2;2
Mi Casa Tu Casa;106;1;95;2;88
A quiet  cozy home for travelersfree st parking;144;1;55;1;21
The Justice House;62;2;207;2;1
Historic HeightsPrivate Queen Room;126;1;83;2;80
Bedroom with full size bed in Washington Heights;126;1;50;3;113
Amazing Williamsburg Brooklyn Apt;94;1;50;1;0
Spacious Private Comfortable N HARLEM Apartment;106;2;200;3;165
Awesome bedroom in 2br apartment 3;111;1;100;3;303
NYCLegal 2br parking  Metro  4min JFK 15min;72;2;119;4;111
The Justice  Suite;62;2;175;1;331
BRIGHT  BEAUTIFUL;66;1;49;2;59
Peaceful apartment close to FG;80;1;45;500;358
Home Sweet Harlem Welcome;100;2;110;1;348
Sunny private room in Bushwick;59;1;70;1;0
Massive 3 bedroom with Patio;104;2;500;4;249
Garden Apartment in Carroll Gardens;61;2;180;4;185
Upscale SunSoaked Luxury apartment in Brooklyn;51;2;145;1;47
Room in the heart of Williamsburg;94;1;60;7;0
5Prime W Private Outdoor 5177;127;2;550;30;352
Hamilton HeightsApollo Theater;106;1;57;3;247
Duplex Apartment;51;2;98;30;140
Artist Private Studio;100;2;120;3;0
Forest Hills Haven;147;2;100;2;0
1 BR in 2BR  Luxury High Rise;107;1;90;1;0
Private 1 BR in Brooklyn;66;2;85;25;0
Luxury Apartment Downtown Brooklyn;69;2;120;30;0
1 brd apartment for Easter week in NOHO;116;2;180;3;0
11 Windows  Rooftop  Queen Bed;94;1;149;1;0
Charming Apartment With View;106;2;90;10;6
Spacious Gramercy Loft;104;2;250;2;0
Cozy Walk up apartment in a great neighborhood;161;1;50;2;0
Luxury New York Apartment;107;1;550;1;0
Manhattan  Washington Heights Apt;126;1;50;1;0
Modern Studio in Brooklyn;78;2;90;7;71
Modern Garden 2BD w Backyard Dishwasher Laundry;51;2;165;4;43
Bright Spacious Brooklyn Bungalow;77;1;70;1;0
A beautiful Cozy 1 BR Apartment;44;2;90;2;319
HUGE apartment in GREAT location;51;2;109;3;0
Privacy meets luxury and comfort;51;2;96;2;256
Tranquility in Park Slope House  Garden;91;2;390;4;13
Beautiful True 1BR in Park Slope;95;2;78;5;0
Clean Private Bedroom in Bushwick;59;1;50;1;0
New Spacious Master Williamsburg;94;1;200;1;0
Habitacin privada en Midtown NY;113;1;112;3;0
Doorman Studio Gym Rooftop 5170;125;2;117;30;327
Cozy top floor room at BrooklynBreakfast;86;1;50;1;286
North Williamsburg 2 BR Apt;94;2;200;1;0
Luxury Apt in the Heart of Brooklyn;75;2;185;30;212
A SUPERB One Bedroom Apartment;47;2;85;2;304
Sunny apartment downtown Manhattan;98;2;235;2;184
COZY STUDIO APARTMENT FOR 2 ;100;2;75;5;0
TOWNHOUSE CHARME IN CITYEAST 59th STUDIO;113;2;180;30;364
Cozy Chinatown studio apartment;123;2;100;4;0
Cozy Room Available in Brooklyn;51;1;75;1;0
Charming Brownstone TwoBedroom Fort Greene;75;2;200;1;12
Big Bright UWS Bedroom and Study;125;1;125;3;0
union squareNewly RenoSleeps 3;104;2;130;30;246
Beautiful Apartment by Astoria park;140;2;99;4;0
Comfy Brownstone Room in Brooklyn;51;1;40;1;0
Top Floor Apartment with Roof Access;113;1;120;1;17
Brooklyn Factory Loft;94;2;350;5;274
Private Room With Manhattan Skyline Views;161;1;84;1;69
Beautiful StudioDoorman Building43 St  2 Ave;115;2;83;30;311
1 Bedroom Getaway in Park Slope;85;2;125;2;0
Beautiful Studio in luxury building;79;2;110;3;0
Big sunny room 20 min to Manhattan;51;1;38;7;0
PERFECT STUDIO FOR 2 EAST 60th ST;124;2;138;30;341
Nice Comfortable Cozy 1 Bedroom;87;2;100;4;0
Stairway to Heaven;107;1;150;4;0
Charming bedroom downtown;98;1;90;1;0
Charming 1BR in UES Townhouse;124;2;154;30;18
Unique Duplex Loft in Gated Compound;66;1;75;3;67
CHARMING 1 BEDROOM IN PERFECT LOC;101;2;110;30;337
Lovely room with private bathroom near Manhattan;175;1;129;1;250
Cute Cozy 1 bdrm in Carroll Garden;63;2;190;31;288
Midtown Manhattan Hideaway;107;2;185;2;233
Nouveau Bohemian in East Village;101;1;108;2;51
Sunny bedroom downtown;99;1;98;1;0
Large room in spacious apartment;59;1;39;4;0
Suite1442;51;2;145;2;271
2 Bedroom in The East Village;104;2;125;1;0
bedroom;66;1;85;1;0
NYC Private Apt by Subway and Yankee Stadium;20;2;89;1;104
2BR WITH PRIVATE PATIO EAST VILLAGE;105;2;245;30;364
EAST VILLAGE MASSIVE 1BR 15BATH;101;2;230;30;363
Cozy Minimalist Room in Brooklyn;66;1;43;3;305
Comfy quiet room next to subway;66;1;40;4;0
Awesome bdrmofficelvnroom in design Apart in LES;111;1;200;3;333
The Study  UWS Bedroom In Luxury Building;125;1;40;21;177
Huge Sunny  Quiet;51;2;85;180;1
Private Room in Williamsburg BK;94;1;50;1;0
Spacious FamilyFriendly NYC Apt;106;2;75;1;0
Lease Chinatown   Little Italy 5 bedrm  2 bath;110;2;255;31;317
Cozy 1 Bdr In the West Village;127;2;199;1;0
Nice Room in Comfortable BK apt;86;1;70;5;0
A big Sunny Room;72;1;33;1;231
Private room in the hearth of NYC;113;1;90;3;0
Stunning  West Village Loft;127;2;150;1;0
Mins to SOHOGood sized 2 Bdrms w real comfy beds;111;2;229;2;283
Charming Quiet Room with Full Bed;86;1;34;2;0
Sunny refuge surrounded by parks;108;2;115;3;0
Amazing TwoFloor Artist Loft;94;2;171;1;293
SMALL ROOM in private House;168;1;50;2;344
Great 1 BR available in UES;124;1;70;1;0
COZY CLEAN ROOM 7 MIN FROM JFK;173;1;40;2;336
Joyce and Donovans Room for One;147;1;37;25;330
Mins away to Manhattan Suite Residence;129;3;1800;3;90
Private furnished room in BK apartment;66;1;36;1;0
Penthouse King Bedroom wAmazing Views;59;1;65;7;0
The Blair House Rental;113;1;120;5;0
Charming 1BD in hip east village;101;2;135;2;0
Beautiful upper west side townhouse;125;2;2000;4;75
Very Sunny CoupleFamilyfriendly;146;2;70;4;0
SPACIOUS Designer Loft  1BR;113;2;160;3;0
One room available in apartment;107;1;70;1;0
Sunny Quiet East VilLES APT;101;2;140;1;0
Private room w bathroom  kitchen;51;1;69;3;317
Sunny Kid Friendly 2 Bedroom;126;2;125;5;0
Luxury 2200ft 4Bed in East Village;104;2;700;5;266
LightFilled Loft Morgan L;94;1;64;3;0
Williamsburg Piedterre;94;2;250;3;0
Room in East Harlem;100;1;30;1;0
LA MAISON JOYEUSE  12 min walk to Yankee Stadium;11;1;100;2;0
Private Room Off Morgan L Train Stop In Huge Loft;94;1;40;5;0
Triplex w 2 full bedbath and high ceilings;104;1;200;1;0
Large Room in Park Slope;85;1;90;5;0
Cozy and Simple Studio UES NYC;124;2;145;5;236
Newly Renovated 2 Bedroom in Soho;111;2;170;1;0
Cozybright Clinton Hill studio;62;2;70;6;203
Private Room in Uptown Manhattan;126;1;70;2;283
Apt in the heart of West Village;127;2;168;1;0
Sunny green brownstone duplex with deck  garden;51;2;195;4;15
Unique Lincoln Square 1 BR Apt;125;2;250;3;0
Hells Kitchen private room 3BR2BA;107;1;55;10;0
Gorgeous Brooklyn Master Bedroom;86;2;75;16;0
Charming Pad in Prime Bushwick;59;1;55;30;0
Large BR in Spacious Artist Loft;59;1;75;3;0
One Bedrm BK Brownstone Beauty;51;1;50;7;243
Queen Bedroom in East Village;101;1;85;1;0
Bright  comfy room in Bed Stuy 3BR;51;1;28;1;0
Manhattan Harlem private room  single bed;100;1;60;5;271
CLEAN QUIET COMFORTABLE APARTMENT;87;1;70;1;0
One Bedroom apartment in the heart of Chelsea;97;2;165;6;13
Stylish 2 BR on the Upper West Side;125;2;145;1;0
Cute  Cozy StudioC2S  UES 81;124;2;125;10;88
West Village 2 Br;127;2;250;1;0
Sunny 1Bdrm Near Shopping;73;2;69;5;0
Fourth of July getaway;108;2;140;3;8
Special Offers Guest Assistance;86;1;250;1;0
ULTRA CHIC 3BR APT IN EAST VILLAGE;101;2;278;30;339
EAST VILLAGE 3BR WITH GARDEN VIEW;101;2;285;30;364
Summer in the City;129;1;60;1;0
SunFilled Bedroom in Artist Apartment;51;1;30;50;0
Modern Apartment in Williamsburg;94;1;65;2;0
A HOME AWAY FROM HOME IN NYC UPTOWN;108;3;29;1;90
Room for rent in East Village;101;1;65;2;1
living affordably in prim RIVERDALE;19;1;45;6;0
Entire 1Br Apt on UES;124;2;130;1;53
Williamsburg Abode;94;1;75;3;0
Sunny room wLaundry  own entrance;59;1;50;2;0
Large 1 bd in East Williamsburg;94;2;160;7;0
PRIVATE ROOM  GREENPOINT;79;1;65;1;0
Private Room Twin Bed Great Stay;124;1;39;1;0
Cozy 1 Bedroom in the Village;104;2;145;1;0
Lovely Brownstone close to subway;51;2;195;4;236
Cozy SunLit Room Next To TimeSquare;107;1;79;1;0
Sunny New Apartment in Artsy Area;59;1;50;30;326
Comfortable Bedroom;108;1;35;3;31
Sunny Friendly 3BR Lower East Side;111;1;325;2;139
Huge bedroom in luxurious apartment;100;1;40;4;0
Cute cozy hip Williamsburg nest;94;2;95;30;27
Private Bedroom Midtown;125;1;105;4;0
Private room in Uptown Manhattan;108;1;43;2;0
Sunny Artist PH  Williamsburg  wPrivateTerrace;94;2;225;1;89
Renovated Large Studio Apartment;125;2;175;3;0
Room off Jefferson L Bushwick;59;1;75;1;0
Charming Studio in Great Location;63;2;94;1;4
Cozy lofted room with patio;59;1;100;1;0
West Village penthouse loft w roof;105;2;200;3;0
Gated Manhattan Enclave;100;2;95;2;92
Cozy studio livingroom sharing in Little Italy;110;3;65;5;89
Sleek Modern Loft w Balcony;94;2;349;2;337
Cozy room in Williamsburg apartment;94;1;41;1;0
One bedroom apt near Times Square;107;2;200;3;0
Cozy Garden  Apartment;73;2;85;2;246
Gramercy Townhouse;104;2;1200;2;0
Rm in 3BR Dplx1Bth ClintonHill off WashingtonAve;62;1;150;2;35
1 BEDROOM IN COZY APARTMENT;100;1;65;1;0
Private Hells Kitchen Two person room;107;1;110;1;165
Cute bedroom in the East Village;101;1;75;120;173
Sunny and Spacious Room in Central Harlem;106;1;80;3;3
Bright modern room in clean appt;59;1;45;3;0
Charming 1 Bedroom Brooklyn Apt;51;2;83;4;201
Cozy and bright bedroom with a queen size bed;4;1;40;2;276
Sunny room with private insuite bathroom;51;1;79;3;358
1 bedroom Apt in Prospect Heights;86;2;70;1;0
Manhattan Apartment  Extra Travel Bonus;106;2;177;3;175
Private room in Williamsburg;94;1;60;1;0
Beautiful home close to CentralPark;125;2;190;1;0
Large 3 Br on Central Park North;100;2;240;2;0
Spacious 1 BR Apartment  UES;124;2;150;2;0
Spacious modern room in Bedstuy;51;1;31;29;0
Great Apartment in Manhatan;114;2;110;1;0
Charming One Bedroom in Boerum Hill;77;2;120;2;0
Love Where You Live 3BR Garden Apartment Duplex;79;2;176;3;54
Lower East Side Living;111;2;199;4;0
Hipster Central;88;2;200;1;0
Private room in Greenpoint Apt;79;1;70;1;0
Chambre au coeur de Manhattan;97;1;65;1;0
Hip Bushwick right on the L train;59;1;60;2;0
Beautiful Brownstone apt in Central Harlem;106;2;140;4;128
Designer 1Bd with Treelined Terrace;86;2;150;21;0
Luxury apartment in Williamsburg;94;2;200;1;0
Stay in Private Room in PARK SLOPE;92;1;55;1;0
Huge spacious 2 bdrm 2 bath apartment on the LES;101;2;200;2;36
Charming Piedterre  New York;100;1;100;2;235
Wonderful apartment with view  Rooftop;129;2;112;1;0
Sunny private bedroom;94;1;45;5;0
sunny cozy room near subway;51;1;75;5;0
Furnished Room in Williamsburg;94;1;45;1;0
Condo at Wyndham Midtown 45;113;1;499;3;0
Private Garden Apartment;63;2;160;2;6
SUNNY SAFE and FRIENDLY minutes to Manhattan;153;2;100;2;0
Cute East Village Studio Apartment;101;2;175;1;0
Private sunny room in Chelsea;97;1;80;40;0
Brand New BuildingApt  Great Area;94;1;60;3;3
Doorman 1 bedroom Amazing Location 5151;102;2;175;30;312
Lovely room in Jackson Heights;153;1;65;2;314
West Village Modern Studio;127;2;159;2;361
Spacious Flat in HeArt of Bushwick;169;2;118;2;337
Lovely  Cozy Apartment in Queens;162;2;120;3;303
High Rise Elevator Building in NYC;111;1;91;2;80
Huge Sunny Carroll Gardens 1BR Apt;61;2;125;5;0
Crown Heights Franklin Ave Sunny Room;66;1;55;1;0
Fresh East Village 4K PreWar Remix w Full Bar;101;2;175;3;0
Nice Sunny and by Yankee Stadium;106;1;100;1;0
Spacious park block garden studio;125;2;140;30;256
Private room in Manhattan;106;1;55;1;0
Light filled room in hip Gowanus;77;1;40;3;0
Huge 1bd Doorman GYM Roof 5224;121;2;180;30;303
Long Island City Penthouse 1 stop 2 Manhattan;161;2;110;30;66
Modern 1bdrm apt near Manhattan and Central Park;129;2;90;2;266
Hipster Room in South Williamsburg;94;1;50;1;0
Everything you need in NYC 3BR;51;2;135;30;281
1 bedroom in 2 bedapt in the best of Brooklyn;94;1;60;3;0
Huge bedroom in the heart of NYC;109;1;200;2;0
Cozy room in Adorable 2BR apt inUES special price;124;1;90;10;8
Lincoln Center Apartment;125;2;180;1;0
Modern West Village Studio;127;2;228;1;0
Apt in Upper West near Central Park;125;2;250;4;0
Females Only Private Room JFK 1Omin;154;1;40;1;88
Great Home  Host Next to 1 train;106;1;65;14;185
STUDIO IN  VILLAGE CHARMPERRY STREET;127;2;188;30;342
Spacious studio near Central Park;114;2;130;5;0
Great apartment North Williamsburg;79;2;140;2;0
Great Private Room in West Village;127;1;130;1;243
Family friendly amazing garden in Cobble hill;54;2;300;29;312
Simple but spaced  Near to subway;106;1;50;4;162
Cozy Groundfloor Apartment wGarden;66;2;75;4;0
Prime Chelsearoof decklaundry;97;2;200;30;311
Space for Small Events GatheringsDinner Parties;59;2;250;1;0
1BRQueens;144;1;100;1;0
Brooklyn Love Close to the City;51;2;112;2;291
Luxury Midtown West Studio wpool wifi;107;2;230;30;176
Designed By StarkBasket Ball Gym 5150;102;2;170;30;312
NEW Furnished East Village Gem;101;1;79;2;0
Private Room Near  Times Square;107;1;125;3;0
Dooman GYM prime location5178;121;2;285;30;311
Luxury Midtown West 2BR wpool wifi;107;2;421;30;0
LES sunny bedroom with roof access;111;1;110;3;0
Amazing spacious Loft in Williamsbu;94;2;690;1;169
Harlem Gem;106;2;169;3;39
Spacious  Sunny Urban Treehouse;66;1;60;3;0
Spacious Loft GreenpointWilliamsbr;79;1;70;2;0
Central Park  2 Cozy Rooms Max 7 People;125;1;150;2;333
Sweet and Cosy apartment;125;1;120;12;0
Big Cozy Apartment in West Uptown;106;2;140;4;0
1 Bedroom Apartment Tompkins sq ParkEast Village;101;2;160;4;343
Delightful Cozy and Convenient Room in Brooklyn;51;1;50;1;189
Familyfriendly 2 bed aptnear Manhattan;165;2;120;4;51
Huge Apt for Family Close to Trains;62;2;140;3;0
Lovely Home in Prime Brooklyn;77;2;619;5;54
Lovely 3 Bedroom 2 Bath Flatiron Area Loft;103;2;600;5;338
Fantastic 1 Bdrm  Entire Apartment;106;2;76;14;0
Brooklyn Bushwhick Private Room;59;1;35;1;0
A slice of heaven on earth in NYC;113;3;75;1;0
Master Room in Downtown Queens NYC;139;1;40;16;146
Brooklyn Style Apartment;62;1;54;2;333
Soho sanctuary in perfect location;117;2;140;2;110
WEST 56TH COLUMBUS CIRCLELUXURY DOORMANGYMDECK;107;2;225;30;348
Sunny Room Hamilton Heights Section of Manhattan;106;1;87;1;332
Beautiful Spacious Loft near subway and train;112;2;131;3;317
LUXURY DOORMAN STUDIO ON EAST 44th STREET;113;2;198;30;364
Gorgeous family friendly 3BR by Columbia campus;114;2;450;5;329
Beautiful Apartment in Historic Brooklyn Townhouse;87;2;175;2;67
NYC Studio Apartment;115;2;100;1;0
Studio apartment close to subway;125;2;250;1;0
Central Park  UWS;125;1;280;2;317
Full apartment available;51;2;135;30;365
Huge 1 bdrm apt sublet MarchAug;66;2;2100;120;363
1br Suite  St Regis Residence Club;113;2;1100;2;268
Sunny familyfriendly 1 bed apt near Manhattan;165;2;87;4;58
Trendy 1 Bedroom Harlem Brownstone;106;2;165;3;278
1BD apartment with balcony on park;75;2;170;1;0
Cheap clean 15 min to Manhattan;153;1;50;1;188
One Bedroom with kids room  office;38;2;79;186;365
Small Room Double Bed and 25 x 15 ft livingroom;97;1;84;1;23
Riverside park and Columbia Univ;114;2;375;7;0
Sunny Manhattan Studio  perfect for couples;124;2;135;2;0
Private Room  Bathroom with Sauna;91;1;125;1;0
HUGE LIGHTENED ROOM  APARTMENT BROOKLYN;51;1;79;1;0
Historic Upper West Side Townhouse 1 or 2 Bdrms;106;2;165;2;35
Manhattan 80s upper east side  entire apartment;124;2;300;31;201
Supercute apartment in Harlem;106;1;45;1;0
Central Park 2BR Luxury building24H DM Newly Reno;113;2;400;30;188
Spacious  sunny room in Brooklyn;66;1;40;2;0
Chill place near subwayparkriver;125;1;60;3;0
RENOVATEDBEST LOCATION in MIDTOWN;113;1;250;3;198
Large clean private bedroom in Crown Heights;66;1;55;30;365
Sunny  Spacious 1br Lower East Side Apartment;98;2;199;3;48
Cute 1bd wbalcony E Williamsburg;94;2;130;30;0
Private Room  One of a kind chance in East Harlem;100;1;44;6;335
Large 1br in central Nolita  SoHo;117;2;200;5;0
Cozy Loft in Flushing;146;2;90;3;0
Superb Steps away from Union Square;104;1;139;1;0
Spacious duplex in townhouse;66;2;250;7;0
Colorfull apart in NY;100;2;120;5;303
Cozy 1 Bedroom in Bay Ridge NYC;50;2;100;4;0
Comfy  Convenient and a Balcony;66;2;133;2;0
Modern Condo in Heart of Harlem;100;1;120;3;0
Prime Williamsburg 2 Balcony  Roof;94;2;100;1;0
Beautiful Apartment in Chelsea;97;1;70;1;0
Cheerful large 3BR w yard Perfect for families;92;2;200;4;0
Charming Upper East Side priv room  private bath;124;1;89;5;80
In the Heart of Williamsburg;94;1;75;1;0
1 Bedroom Apt East VillageUSQ;101;2;200;1;0
Room  Manhattan Walking distance to Central Park;124;1;90;1;361
Bright bedroom in Soho  roof access;119;1;190;2;38
Manhattan GemSpace  Convenience;126;2;150;2;300
Hudson COLUMBIA PRESBYTERIAN MED CTR  Studio Apt;126;2;85;30;311
Clean Room in Prime Hip LES;111;1;65;1;0
COLUMBIA PRESBYTERIAN MED CTR 1 Bedroom Apt;126;2;110;30;252
Sofa bed for FEMALE only on the Lower East Side;98;3;70;1;55
Cozy room with queen bed in 4b;51;1;55;3;0
Midtown East Master Bedroom;113;1;75;1;0
Bright Midtown Apartment;107;1;59;1;0
Beautiful with private terrace;85;2;200;3;0
Large sunny room  Lower East Side;111;1;85;5;0
Modern Bushwick rm perf for 1 or 2;59;1;85;1;0
Sunny 2BR Railroad Apt in LIC;161;2;158;1;0
Spacious Room w private bathroom;80;1;35;14;0
Rustic charm in BKLYN  QUEEN Bed;71;1;57;1;89
Great Studio nearby Times Square;107;2;138;1;265
Comfy NYC Studio 15 Min To Midtown;106;2;90;2;39
Brick House Unique Garden Apartment King Bed;51;2;125;2;354
King 7;75;2;999;2;361
Luxury Apt Steps from Central Park;100;2;225;2;0
Cozy Room Astoria;140;1;45;1;0
Room in Chic Cozy Chinatown Loft;98;1;150;5;0
Comfy 1 bedroom Upper East Side Apartment 822nd;124;2;150;1;0
Upper West Side 1BD with terrace;125;2;140;1;0
PRIVATE ROOM Female guest only;154;1;40;3;318
EAST RIVER VIEWHIRISE STUDIO;113;2;205;30;364
LUXURY MURRAY HILL STUDIOSGYMDECK;115;2;190;30;364
Private bedroom located in the heart of Chelsea;97;1;110;1;67
2 Bedroom 10 Minutes from JFK Airport 2nd Floor;154;2;150;1;80
Cozy upper east side studio;124;2;100;1;0
1BR Walkup on Upper East Side;124;2;75;1;0
Artsy Bsmnt Apt in Bklyn Brownstone;87;2;115;2;126
Book filled nook;86;1;50;1;0
Spacious West Village Studio Apt;127;2;190;1;158
Bright sunny quite room Bushwick;169;1;60;2;0
Great Apartment in Midtown New York;113;2;200;1;0
Bright Modern Spacious Duplex Apt;129;2;90;2;0
Beautiful Tribeca Loft;122;2;500;3;0
Beautiful Modern Studio in Bushwick;59;2;115;3;20
Midtown East Alcove Studio;115;2;140;5;0
Beautiful East Harlem Apartment;100;1;50;30;345
SUNNY STUDIO  23rd FLOOR DOORMAN;109;2;135;1;0
Cool East Village apt;101;1;109;3;0
Sunny Huge Bedroom in Brownstone;66;1;60;1;0
Bright 2 bedroom aparment Bushwick;59;2;148;5;275
Queen bed  Air Conditioning views of Chatham Sq;98;1;95;1;49
Warm and Cozy Room in Hip Iconic Brooklyn;51;1;50;1;189
Private studio apartment;59;2;79;4;250
Cozy Artists Bushwick Loft;94;1;50;6;0
Nice apartment 4 Springbreak in NY;114;1;40;3;0
1 Bedroom apt  near Central Park;125;2;101;30;0
Oasis in old WorldBrooklyn;51;2;135;5;281
Private room in Midtown East Manhat;113;1;99;4;0
1 Bedroom in Modern Williamsburg Duplex;94;1;95;1;0
Super Cute and Sunny Studio;126;2;110;4;0
Central Park Dreams;125;2;299;4;0
Upper West Side 1 room in 3bed apt;125;1;79;1;0
Quiet Clean Lit  Lower East Side;111;1;52;1;0
Charming Prewar Upper West Side Apt;125;2;95;1;0
Beautiful light filled spacious;77;2;295;4;326
Williamsburg Loft;94;1;65;1;0
Park Avenue Studio Suite;113;2;110;30;126
Park Avenue 3 Bedroom Apartment;113;2;215;30;125
Bay RIdge Brooklyn NY;76;2;100;15;365
Condo w Balcony UES nr Lex subway;124;2;450;1;0
Heart of Williamsburg Floor thru;94;2;95;30;32
3rd Floor 3br Timeless Brooklyn Apt;66;2;140;4;30
Historic Central Chinatown Apt;98;2;220;4;0
LUXURY 2 BR 2 BATH WASHERDRYERDOORMANE 52nd ST;113;2;355;30;364
CHIC STUDIOS ON E 54THPRIME LOCATIONSUTTON PLACE;113;2;185;30;364
CITY VIEWS  BALCONYGORGEOUS 2BR IN MURRAY HILL;115;2;297;30;311
Museum Mile 1 BR  Madison Ave;124;2;133;30;311
Private Room in mid town west;107;1;100;1;0
Elegant 2 Bedroom with light  amenities;111;1;250;2;0
1 bedroom in Astoria Queens;161;1;65;1;0
Chic Room with Exposed Brick;94;1;50;3;0
Doorman Gym Roofdeck Design 5129;125;2;135;30;313
Great Room in Sunny Apt in Brooklyn;51;1;80;2;12
LARGE Loft;94;1;69;3;91
Noir Apartment in Chinatown  Private Room;123;1;75;2;271
Brownstone living  1BR in BK;54;2;125;5;0
Luxurious SOHO 1 Bedroom;110;2;142;30;342
Studio APT Murray Hill Gramercy;109;2;200;1;0
Opening my space while I travel;59;1;45;1;0
Gramercy Garden Terrace;104;1;97;3;18
2BR MODERN APT CONVENIENT LOCATION;115;2;229;3;0
True NY Living Times SQ  1 BR Apt;107;2;175;1;273
Beautiful new apt in Williamsburg;94;1;63;7;0
Walking distance  to LaGuardia airport;142;1;45;1;159
Hells Kitchen 3 Bedroom;107;2;185;30;0
Luxury One Bedroom in Manhattan;106;3;50;1;216
Luxurious SOHO 2 Bedroom;110;2;175;30;161
Brand New Luxurious 1 BR  Outdoor Space;109;2;133;30;312
Amazing view from a private roof;95;1;62;1;260
Great Private Room in Sunnyside;175;1;90;1;346
Best Neighborhood in Brooklyn;63;1;99;2;66
Prvt Bedroom in Brooklyn Brownstone;75;1;61;60;43
Newly Furnished 1BD Near Train;140;2;120;1;139
Astoria Suite  20min to Manhattan;140;1;100;1;32
Warm and cozy;126;3;32;1;332
Upper East Side cozy private room;124;1;80;2;0
Spacious One Bedroom Apartment;71;2;90;3;0
Prospect Heights Three Bedroom;66;2;180;1;0
Sunny enchanting spacious bedroom;126;1;65;4;0
Fully furniture huge room in great apt;35;1;49;6;340
Luxurious sunny 2bedroom apt;126;2;100;14;0
Spacious Art Duplex 4 Full Beds  3 BR  3 Bath;59;2;380;3;290
Spacious and sunny room for rent;126;1;26;7;0
Washington Heights 1 bedroom;126;2;100;3;0
Sunny bedroom with amazing view in East Village;101;1;90;15;0
The Heart of Lower East Side;111;1;89;2;0
Modern New Condo  20 minutes to upper west side;19;1;35;30;155
Peaceful  Sunny Greenpoint Room;79;1;66;1;0
Executive Room Central ParkComfortClassyMidtown;113;1;285;1;365
Riverside Single Room near Columbia;114;1;46;1;0
Classic Loft in GramercyFlatiron  Amazing Value;103;2;275;2;0
Spacious Room in Stuyvesant Heights;51;1;89;1;0
3 Bedroom family ready in Harlem;106;2;250;1;0
Modern Garden View Apartment;94;2;200;4;50
Spacious 2bd Condo w Private Patio;86;2;175;2;4
Cozy East Village Home;111;2;140;1;98
Luxurious 2 Bedroom;124;2;133;30;311
Midtown East 2 Bedroom 3 Beds;113;2;150;30;206
;146;1;55;1;180
Luxurious SOHO Apartment;105;2;142;30;157
Large Sunny 1BR 1 Block to Subway;126;2;95;7;0
Updated Midtown East 2 Bedroom 3 Beds;113;2;165;30;180
Sunny Williamsburg 1 Bedroom apt;94;2;150;3;0
Chic Rooms in Large NYC Apt;106;1;99;28;365
Executive 1 BR  Elevator  Laundry;113;2;133;30;310
Mod Home Steps from Prospect Park;73;2;150;3;264
spacious 1 BR heart of astoria;129;2;190;2;0
Amazing Combo BedroomLiving Space;59;1;60;21;0
Cozy Studio Apt in Prospect Heights;66;2;106;7;26
